#EEP   M/Mo  LogTeff   LogG  LogL/Lo     u       g       r       i       z  
  76  0.649275  3.7499  4.6361 -0.4327  7.2706  6.2635  5.8322  5.6759  5.7101
  77  0.652962  3.7520  4.6306 -0.4164  7.2112  6.2158  5.7916  5.6386  5.6751
  78  0.656595  3.7540  4.6248 -0.4002  7.1534  6.1688  5.7515  5.6017  5.6405
  79  0.660177  3.7559  4.6189 -0.3843  7.0971  6.1227  5.7120  5.5652  5.6062
  80  0.663700  3.7578  4.6130 -0.3685  7.0421  6.0773  5.6730  5.5291  5.5723
  81  0.667161  3.7596  4.6071 -0.3530  6.9886  6.0328  5.6347  5.4936  5.5388
  82  0.672077  3.7622  4.5983 -0.3308  6.9131  5.9693  5.5799  5.4428  5.4910
  83  0.676956  3.7647  4.5894 -0.3086  6.8390  5.9063  5.5253  5.3921  5.4432
  84  0.681786  3.7672  4.5802 -0.2865  6.7663  5.8437  5.4709  5.3416  5.3955
  85  0.686559  3.7696  4.5710 -0.2644  6.6947  5.7814  5.4167  5.2913  5.3480
  86  0.691267  3.7720  4.5616 -0.2424  6.6242  5.7197  5.3629  5.2413  5.3006
  87  0.695906  3.7744  4.5522 -0.2206  6.5548  5.6586  5.3094  5.1915  5.2535
  88  0.700468  3.7768  4.5428 -0.1989  6.4863  5.5979  5.2563  5.1421  5.2067
  89  0.704941  3.7791  4.5333 -0.1773  6.4189  5.5377  5.2036  5.0931  5.1604
  90  0.709319  3.7814  4.5238 -0.1559  6.3528  5.4782  5.1515  5.0445  5.1144
  91  0.713604  3.7837  4.5142 -0.1346  6.2879  5.4191  5.0997  4.9962  5.0687
  92  0.717797  3.7859  4.5045 -0.1135  6.2244  5.3607  5.0482  4.9481  5.0231
  93  0.721899  3.7881  4.4945 -0.0925  6.1624  5.3027  4.9970  4.9003  4.9777
  94  0.725907  3.7901  4.4844 -0.0716  6.1015  5.2452  4.9460  4.8526  4.9324
  95  0.729825  3.7922  4.4740 -0.0508  6.0416  5.1882  4.8953  4.8050  4.8871
  96  0.733652  3.7941  4.4634 -0.0301  5.9826  5.1316  4.8447  4.7575  4.8418
  97  0.737389  3.7960  4.4526 -0.0095  5.9244  5.0754  4.7943  4.7101  4.7966
  98  0.741036  3.7979  4.4415  0.0111  5.8669  5.0195  4.7442  4.6628  4.7514
  99  0.744595  3.7996  4.4301  0.0315  5.8099  4.9639  4.6944  4.6159  4.7065
 100  0.748067  3.8013  4.4185  0.0519  5.7531  4.9086  4.6450  4.5693  4.6620
 101  0.751451  3.8029  4.4066  0.0723  5.6970  4.8535  4.5957  4.5229  4.6174
 102  0.754741  3.8044  4.3944  0.0925  5.6418  4.7989  4.5465  4.4764  4.5728
 103  0.757936  3.8059  4.3821  0.1126  5.5876  4.7446  4.4975  4.4298  4.5280
 104  0.761035  3.8073  4.3694  0.1326  5.5349  4.6910  4.4483  4.3829  4.4828
 105  0.764046  3.8087  4.3566  0.1525  5.4832  4.6379  4.3992  4.3360  4.4375
 106  0.766973  3.8099  4.3436  0.1722  5.4323  4.5854  4.3504  4.2892  4.3922
 107  0.769819  3.8111  4.3303  0.1918  5.3822  4.5333  4.3019  4.2426  4.3470
 108  0.772593  3.8122  4.3169  0.2112  5.3328  4.4818  4.2537  4.1962  4.3019
 109  0.775301  3.8132  4.3033  0.2305  5.2841  4.4308  4.2060  4.1502  4.2572
 110  0.777952  3.8142  4.2894  0.2496  5.2360  4.3802  4.1588  4.1046  4.2127
 111  0.780516  3.8151  4.2756  0.2686  5.1886  4.3302  4.1120  4.0594  4.1687
 112  0.781265  3.8154  4.2715  0.2743  5.1741  4.3149  4.0978  4.0458  4.1555
 113  0.782012  3.8158  4.2675  0.2801  5.1595  4.2994  4.0835  4.0321  4.1422
 114  0.782757  3.8161  4.2634  0.2860  5.1448  4.2838  4.0692  4.0183  4.1289
 115  0.783501  3.8165  4.2594  0.2919  5.1300  4.2680  4.0547  4.0045  4.1154
 116  0.784243  3.8168  4.2553  0.2978  5.1151  4.2522  4.0401  3.9906  4.1020
 117  0.784984  3.8172  4.2511  0.3038  5.1001  4.2362  4.0254  3.9765  4.0883
 118  0.785722  3.8175  4.2468  0.3098  5.0850  4.2202  4.0105  3.9621  4.0743
 119  0.786457  3.8178  4.2422  0.3159  5.0699  4.2040  3.9955  3.9476  4.0602
 120  0.787188  3.8180  4.2374  0.3221  5.0547  4.1878  3.9802  3.9328  4.0457
 121  0.787915  3.8182  4.2324  0.3283  5.0394  4.1715  3.9647  3.9177  4.0309
 122  0.788638  3.8184  4.2273  0.3346  5.0239  4.1550  3.9490  3.9024  4.0158
 123  0.789358  3.8186  4.2220  0.3410  5.0084  4.1385  3.9332  3.8869  4.0005
 124  0.790074  3.8187  4.2165  0.3474  4.9928  4.1218  3.9171  3.8712  3.9850
 125  0.790786  3.8189  4.2109  0.3539  4.9770  4.1050  3.9009  3.8552  3.9692
 126  0.791495  3.8190  4.2053  0.3605  4.9611  4.0880  3.8846  3.8392  3.9533
 127  0.792201  3.8191  4.1994  0.3671  4.9451  4.0710  3.8681  3.8229  3.9372
 128  0.792904  3.8192  4.1935  0.3738  4.9291  4.0539  3.8514  3.8065  3.9209
 129  0.793603  3.8192  4.1874  0.3805  4.9129  4.0367  3.8346  3.7898  3.9044
 130  0.794299  3.8193  4.1812  0.3872  4.8967  4.0194  3.8177  3.7731  3.8877
 131  0.794991  3.8193  4.1749  0.3940  4.8804  4.0020  3.8006  3.7561  3.8707
 132  0.795679  3.8193  4.1684  0.4009  4.8640  3.9846  3.7833  3.7389  3.8536
 133  0.796361  3.8192  4.1615  0.4078  4.8475  3.9671  3.7659  3.7214  3.8360
 134  0.797038  3.8191  4.1545  0.4148  4.8309  3.9495  3.7482  3.7037  3.8182
 135  0.797710  3.8190  4.1473  0.4219  4.8142  3.9318  3.7303  3.6857  3.8001
 136  0.798376  3.8189  4.1399  0.4290  4.7974  3.9141  3.7123  3.6675  3.7817
 137  0.799037  3.8187  4.1323  0.4362  4.7805  3.8963  3.6941  3.6490  3.7630
 138  0.799691  3.8184  4.1245  0.4434  4.7636  3.8784  3.6756  3.6303  3.7440
 139  0.800338  3.8181  4.1164  0.4507  4.7465  3.8605  3.6570  3.6113  3.7247
 140  0.800979  3.8178  4.1081  0.4581  4.7294  3.8425  3.6382  3.5920  3.7051
 141  0.801612  3.8174  4.0995  0.4655  4.7121  3.8245  3.6191  3.5724  3.6850
 142  0.802237  3.8170  4.0907  0.4730  4.6948  3.8065  3.5998  3.5525  3.6646
 143  0.802853  3.8165  4.0815  0.4806  4.6775  3.7884  3.5803  3.5323  3.6438
 144  0.803460  3.8160  4.0721  0.4882  4.6600  3.7704  3.5606  3.5117  3.6227
 145  0.804059  3.8154  4.0624  0.4959  4.6426  3.7524  3.5407  3.4908  3.6011
 146  0.804646  3.8147  4.0522  0.5036  4.6251  3.7344  3.5205  3.4696  3.5790
 147  0.805224  3.8140  4.0418  0.5114  4.6077  3.7164  3.5002  3.4481  3.5566
 148  0.805791  3.8131  4.0309  0.5192  4.5903  3.6986  3.4796  3.4262  3.5337
 149  0.806346  3.8122  4.0197  0.5271  4.5732  3.6808  3.4591  3.4043  3.5108
 150  0.806890  3.8112  4.0079  0.5350  4.5564  3.6631  3.4386  3.3822  3.4875
 151  0.807422  3.8101  3.9958  0.5430  4.5398  3.6455  3.4180  3.3600  3.4640
 152  0.807940  3.8088  3.9830  0.5510  4.5236  3.6281  3.3974  3.3375  3.4401
 153  0.808445  3.8074  3.9697  0.5591  4.5078  3.6110  3.3767  3.3148  3.4158
 154  0.808937  3.8059  3.9559  0.5671  4.4923  3.5941  3.3560  3.2919  3.3912
 155  0.809415  3.8043  3.9415  0.5752  4.4770  3.5776  3.3351  3.2686  3.3659
 156  0.809879  3.8025  3.9265  0.5833  4.4621  3.5615  3.3142  3.2451  3.3403
 157  0.810329  3.8006  3.9110  0.5914  4.4478  3.5457  3.2932  3.2213  3.3143
 158  0.810767  3.7986  3.8949  0.5995  4.4342  3.5303  3.2723  3.1973  3.2879
 159  0.811191  3.7963  3.8783  0.6076  4.4214  3.5153  3.2513  3.1730  3.2611
 160  0.811604  3.7940  3.8610  0.6157  4.4095  3.5008  3.2303  3.1486  3.2339
 161  0.812003  3.7914  3.8428  0.6237  4.3989  3.4874  3.2094  3.1236  3.2059
 162  0.812333  3.7880  3.8228  0.6304  4.3950  3.4798  3.1912  3.1000  3.1783
 163  0.812659  3.7843  3.8012  0.6371  4.3936  3.4734  3.1729  3.0758  3.1497
 164  0.812983  3.7801  3.7781  0.6438  4.3953  3.4679  3.1552  3.0517  3.1208
 165  0.813307  3.7761  3.7554  0.6505  4.3995  3.4630  3.1370  3.0269  3.0912
 166  0.813633  3.7727  3.7352  0.6575  4.4015  3.4563  3.1185  3.0026  3.0627
 167  0.813957  3.7696  3.7159  0.6646  4.4014  3.4481  3.1001  2.9791  3.0356
 168  0.814276  3.7665  3.6962  0.6718  4.4010  3.4393  3.0817  2.9560  3.0089
