#EEP   M/Mo  LogTeff   LogG  LogL/Lo     u       g       r       i       z  
  14  0.101324  3.5355  5.3124 -2.7733 17.9511 14.1845 12.4863 11.6821 11.3371
  15  0.113401  3.5450  5.2699 -2.6441 17.2657 13.7205 12.0728 11.3353 11.0185
  16  0.125045  3.5533  5.2314 -2.5298 16.6848 13.3147 11.7149 11.0288 10.7362
  17  0.135977  3.5601  5.1985 -2.4332 16.2178 12.9779 11.4199 10.7710 10.4970
  18  0.146374  3.5656  5.1705 -2.3515 15.8420 12.6988 11.1761 10.5541 10.2942
  19  0.157195  3.5702  5.1452 -2.2766 15.5153 12.4488 10.9577 10.3568 10.1082
  20  0.169610  3.5747  5.1201 -2.2006 15.1968 12.1991 10.7396 10.1574  9.9191
  21  0.183722  3.5790  5.0955 -2.1241 14.8852 11.9507 10.5227  9.9576  9.7286
  22  0.198733  3.5830  5.0729 -2.0515 14.5950 11.7169 10.3190  9.7688  9.5480
  23  0.215135  3.5868  5.0507 -1.9796 14.3127 11.4875 10.1190  9.5824  9.3692
  24  0.231999  3.5902  5.0319 -1.9142 14.0587 11.2800  9.9383  9.4135  9.2069
  25  0.245588  3.5928  5.0202 -1.8676 13.8755 11.1311  9.8093  9.2929  9.0909
  26  0.254724  3.5944  5.0137 -1.8387 13.7610 11.0384  9.7294  9.2183  9.0192
  27  0.260745  3.5954  5.0127 -1.8236 13.6980 10.9882  9.6868  9.1788  8.9815
  28  0.265044  3.5961  5.0101 -1.8112 13.6493 10.9486  9.6526  9.1468  8.9507
  29  0.268164  3.5966  5.0072 -1.8010 13.6094 10.9160  9.6245  9.1204  8.9253
  30  0.270106  3.5970  5.0093 -1.7982 13.5925 10.9042  9.6157  9.1128  8.9184
  31  0.271808  3.5974  5.0074 -1.7920 13.5671 10.8838  9.5984  9.0968  8.9031
  32  0.273146  3.5978  5.0059 -1.7869 13.5445 10.8662  9.5838  9.0833  8.8903
  33  0.274312  3.5982  5.0056 -1.7832 13.5262 10.8525  9.5729  9.0736  8.8812
  34  0.275583  3.5986  5.0047 -1.7788 13.5052 10.8365  9.5600  9.0619  8.8702
  35  0.277178  3.5990  5.0023 -1.7721 13.4770 10.8142  9.5413  9.0445  8.8536
  36  0.279111  3.5995  4.9998 -1.7647 13.4471 10.7901  9.5208  9.0254  8.8353
  37  0.281636  3.5999  4.9971 -1.7563 13.4145 10.7634  9.4976  9.0037  8.8143
  38  0.285155  3.6004  4.9940 -1.7461 13.3776 10.7322  9.4700  8.9774  8.7889
  39  0.290333  3.6008  4.9900 -1.7324 13.3315 10.6922  9.4337  8.9426  8.7548
  40  0.298425  3.6015  4.9832 -1.7110 13.2608 10.6302  9.3773  8.8883  8.7016
  41  0.330828  3.6076  4.9426 -1.6011 12.8407 10.2809  9.0751  8.6046  8.4287
  42  0.352544  3.6141  4.9090 -1.5140 12.4848  9.9883  8.8293  8.3779  8.2133
  43  0.362424  3.6173  4.8930 -1.4731 12.3188  9.8499  8.7133  8.2713  8.1124
  44  0.372790  3.6211  4.8762 -1.4289 12.1365  9.6977  8.5869  8.1558  8.0036
  45  0.383354  3.6254  4.8602 -1.3836 11.9440  9.5381  8.4560  8.0374  7.8929
  46  0.393409  3.6300  4.8455 -1.3391 11.7499  9.3785  8.3266  7.9212  7.7849
  47  0.402403  3.6346  4.8323 -1.2980 11.5674  9.2289  8.2060  7.8137  7.6855
  48  0.410452  3.6391  4.8207 -1.2598 11.3921  9.0870  8.0925  7.7132  7.5931
  49  0.418257  3.6439  4.8102 -1.2216 11.2102  8.9420  7.9779  7.6127  7.5014
  50  0.425765  3.6490  4.8005 -1.1839 11.0237  8.7964  7.8642  7.5137  7.4117
  51  0.433228  3.6544  4.7916 -1.1459 10.8265  8.6482  7.7496  7.4141  7.3217
  52  0.437714  3.6578  4.7866 -1.1229 10.7018  8.5584  7.6805  7.3540  7.2674
  53  0.442171  3.6612  4.7817 -1.1001 10.5755  8.4694  7.6121  7.2943  7.2134
  54  0.446624  3.6646  4.7769 -1.0774 10.4485  8.3811  7.5441  7.2349  7.1596
  55  0.451070  3.6679  4.7721 -1.0547 10.3220  8.2942  7.4770  7.1760  7.1062
  56  0.455457  3.6714  4.7676 -1.0323 10.1942  8.2081  7.4106  7.1176  7.0533
  57  0.459784  3.6748  4.7633 -1.0100 10.0662  8.1237  7.3451  7.0597  7.0006
  58  0.464031  3.6783  4.7592 -0.9880  9.9384  8.0408  7.2808  7.0027  6.9487
  59  0.468228  3.6819  4.7553 -0.9661  9.8108  7.9589  7.2172  6.9464  6.8976
  60  0.472386  3.6854  4.7515 -0.9444  9.6839  7.8774  7.1542  6.8911  6.8476
  61  0.476494  3.6889  4.7478 -0.9229  9.5592  7.7975  7.0923  6.8366  6.7983
  62  0.480552  3.6923  4.7440 -0.9017  9.4385  7.7198  7.0318  6.7830  6.7496
  63  0.484558  3.6957  4.7402 -0.8807  9.3213  7.6445  6.9727  6.7302  6.7014
  64  0.488497  3.6990  4.7365 -0.8601  9.2070  7.5714  6.9151  6.6786  6.6542
  65  0.492381  3.7023  4.7325 -0.8397  9.0953  7.5006  6.8588  6.6280  6.6079
  66  0.496224  3.7054  4.7284 -0.8197  8.9862  7.4317  6.8038  6.5784  6.5624
  67  0.500014  3.7085  4.7241 -0.7999  8.8805  7.3649  6.7502  6.5300  6.5179
  68  0.503735  3.7114  4.7199 -0.7806  8.7779  7.3000  6.6980  6.4827  6.4744
  69  0.507371  3.7143  4.7156 -0.7616  8.6788  7.2371  6.6473  6.4367  6.4320
