#EEP   M/Mo  LogTeff   LogG  LogL/Lo     u       g       r       i       z  
  14  0.112441  3.5220  5.2534 -2.7232 17.3746 14.2667 12.6788 11.6561 11.1392
  15  0.130598  3.5259  5.1925 -2.5818 16.8778 13.8382 12.2716 11.2865 10.7877
  16  0.147811  3.5298  5.1448 -2.4645 16.4574 13.4742 11.9268 10.9775 10.4966
  17  0.163260  3.5342  5.1110 -2.3700 16.0994 13.1650 11.6359 10.7237 10.2625
  18  0.177773  3.5388  5.0851 -2.2886 15.7807 12.8893 11.3778 10.5025 10.0617
  19  0.191471  3.5430  5.0640 -2.2185 15.5070 12.6505 11.1545 10.3112  9.8888
  20  0.204598  3.5465  5.0454 -2.1571 15.2754 12.4461 10.9628 10.1452  9.7377
  21  0.218665  3.5499  5.0280 -2.0975 15.0551 12.2497 10.7784  9.9845  9.5911
  22  0.231865  3.5527  5.0131 -2.0456 14.8661 12.0800 10.6190  9.8449  9.4637
  23  0.242878  3.5551  5.0013 -2.0043 14.7174 11.9458 10.4929  9.7343  9.3626
  24  0.251425  3.5568  4.9922 -1.9733 14.6075 11.8459 10.3989  9.6514  9.2868
  25  0.257885  3.5580  4.9858 -1.9510 14.5292 11.7742 10.3313  9.5918  9.2322
  26  0.262931  3.5589  4.9811 -1.9342 14.4710 11.7207 10.2809  9.5472  9.1913
  27  0.266825  3.5596  4.9777 -1.9215 14.4268 11.6801 10.2426  9.5133  9.1604
  28  0.269998  3.5603  4.9754 -1.9116 14.3917 11.6479 10.2124  9.4868  9.1364
  29  0.272583  3.5608  4.9731 -1.9032 14.3619 11.6206 10.1868  9.4644  9.1160
  30  0.274929  3.5612  4.9712 -1.8957 14.3348 11.5958 10.1635  9.4440  9.0975
  31  0.277253  3.5617  4.9693 -1.8882 14.3078 11.5710 10.1403  9.4238  9.0793
  32  0.279637  3.5622  4.9673 -1.8804 14.2800 11.5455 10.1164  9.4030  9.0605
  33  0.282147  3.5627  4.9649 -1.8721 14.2507 11.5186 10.0911  9.3808  9.0404
