#EEP   M/Mo  LogTeff   LogG  LogL/Lo     u       g       r       i       z  
  75  0.860820  3.7059  4.4950 -0.3452  8.4945  6.3192  5.5537  5.3331  5.3367
  76  0.865334  3.7078  4.4899 -0.3302  8.4194  6.2661  5.5116  5.2949  5.3011
  77  0.869750  3.7096  4.4847 -0.3155  8.3471  6.2148  5.4707  5.2576  5.2664
  78  0.874063  3.7114  4.4795 -0.3011  8.2769  6.1649  5.4307  5.2213  5.2324
  79  0.878290  3.7131  4.4743 -0.2870  8.2088  6.1164  5.3918  5.1857  5.1992
  80  0.882435  3.7147  4.4690 -0.2731  8.1429  6.0694  5.3538  5.1509  5.1666
  81  0.886499  3.7163  4.4636 -0.2595  8.0788  6.0236  5.3166  5.1167  5.1346
  82  0.890078  3.7176  4.4588 -0.2475  8.0225  5.9835  5.2839  5.0867  5.1063
  83  0.893591  3.7190  4.4540 -0.2357  7.9676  5.9443  5.2519  5.0572  5.0786
  84  0.897037  3.7202  4.4491 -0.2241  7.9141  5.9060  5.2205  5.0283  5.0513
  85  0.900414  3.7215  4.4443 -0.2126  7.8619  5.8686  5.1898  4.9999  5.0245
  86  0.903713  3.7226  4.4394 -0.2014  7.8114  5.8323  5.1597  4.9720  4.9982
  87  0.906942  3.7238  4.4345 -0.1904  7.7624  5.7969  5.1303  4.9448  4.9724
  88  0.910101  3.7249  4.4296 -0.1796  7.7147  5.7623  5.1016  4.9181  4.9471
  89  0.913192  3.7259  4.4247 -0.1690  7.6686  5.7287  5.0734  4.8919  4.9222
  90  0.916223  3.7269  4.4198 -0.1586  7.6237  5.6959  5.0459  4.8662  4.8979
  91  0.919190  3.7279  4.4149 -0.1484  7.5800  5.6639  5.0189  4.8410  4.8739
  92  0.922102  3.7289  4.4099 -0.1384  7.5376  5.6326  4.9924  4.8163  4.8503
  93  0.924959  3.7298  4.4050 -0.1285  7.4964  5.6021  4.9665  4.7920  4.8271
  94  0.927767  3.7306  4.4001 -0.1188  7.4563  5.5723  4.9410  4.7681  4.8043
  95  0.930526  3.7315  4.3952 -0.1093  7.4172  5.5430  4.9160  4.7446  4.7819
  96  0.933239  3.7323  4.3903 -0.0999  7.3790  5.5144  4.8915  4.7215  4.7598
  97  0.935915  3.7330  4.3854 -0.0907  7.3420  5.4865  4.8674  4.6987  4.7380
  98  0.938551  3.7338  4.3804 -0.0815  7.3059  5.4591  4.8436  4.6763  4.7165
  99  0.941159  3.7345  4.3755 -0.0726  7.2707  5.4322  4.8203  4.6543  4.6954
 100  0.943738  3.7352  4.3705 -0.0637  7.2365  5.4060  4.7974  4.6325  4.6745
 101  0.946300  3.7358  4.3656 -0.0550  7.2033  5.3802  4.7748  4.6111  4.6538
 102  0.948848  3.7364  4.3606 -0.0464  7.1708  5.3550  4.7526  4.5900  4.6335
 103  0.951388  3.7370  4.3556 -0.0379  7.1394  5.3302  4.7307  4.5691  4.6133
 104  0.953921  3.7376  4.3506 -0.0295  7.1085  5.3059  4.7091  4.5485  4.5934
 105  0.956456  3.7381  4.3455 -0.0213  7.0789  5.2822  4.6879  4.5282  4.5737
 106  0.958972  3.7385  4.3404 -0.0131  7.0501  5.2590  4.6670  4.5081  4.5542
 107  0.961456  3.7390  4.3353 -0.0051  7.0222  5.2362  4.6465  4.4884  4.5350
 108  0.963868  3.7394  4.3302  0.0028  6.9950  5.2140  4.6263  4.4689  4.5161
 109  0.966160  3.7398  4.3251  0.0106  6.9682  5.1921  4.6065  4.4499  4.4975
 110  0.968362  3.7402  4.3202  0.0182  6.9420  5.1707  4.5871  4.4312  4.4793
 111  0.970477  3.7406  4.3152  0.0256  6.9165  5.1497  4.5680  4.4128  4.4614
 112  0.971980  3.7409  4.3116  0.0310  6.8983  5.1346  4.5543  4.3996  4.4485
 113  0.973480  3.7412  4.3079  0.0365  6.8800  5.1194  4.5404  4.3861  4.4354
 114  0.974979  3.7414  4.3041  0.0420  6.8616  5.1041  4.5264  4.3726  4.4221
 115  0.976477  3.7417  4.3002  0.0475  6.8433  5.0887  4.5122  4.3589  4.4087
 116  0.977975  3.7419  4.2963  0.0532  6.8248  5.0732  4.4980  4.3451  4.3952
 117  0.979474  3.7422  4.2923  0.0588  6.8063  5.0576  4.4836  4.3311  4.3816
 118  0.980973  3.7424  4.2882  0.0645  6.7879  5.0419  4.4691  4.3171  4.3678
 119  0.982473  3.7427  4.2841  0.0703  6.7695  5.0262  4.4546  4.3029  4.3539
 120  0.983974  3.7429  4.2798  0.0760  6.7511  5.0105  4.4399  4.2887  4.3399
 121  0.985471  3.7431  4.2755  0.0819  6.7328  4.9947  4.4252  4.2743  4.3258
 122  0.986924  3.7434  4.2713  0.0878  6.7135  4.9783  4.4101  4.2597  4.3115
 123  0.988388  3.7436  4.2670  0.0938  6.6942  4.9619  4.3950  4.2450  4.2971
 124  0.989862  3.7439  4.2626  0.0997  6.6752  4.9456  4.3799  4.2303  4.2826
 125  0.991344  3.7441  4.2582  0.1057  6.6562  4.9293  4.3647  4.2155  4.2681
 126  0.992834  3.7443  4.2536  0.1117  6.6375  4.9131  4.3495  4.2007  4.2536
 127  0.994327  3.7445  4.2491  0.1178  6.6190  4.8968  4.3343  4.1858  4.2389
 128  0.995822  3.7447  4.2444  0.1238  6.6005  4.8806  4.3190  4.1708  4.2241
 129  0.997325  3.7448  4.2396  0.1299  6.5826  4.8645  4.3036  4.1558  4.2093
 130  0.998828  3.7450  4.2348  0.1360  6.5647  4.8483  4.2883  4.1406  4.1943
 131  1.000331  3.7451  4.2298  0.1422  6.5469  4.8322  4.2729  4.1255  4.1793
 132  1.001826  3.7452  4.2248  0.1483  6.5296  4.8162  4.2575  4.1103  4.1642
 133  1.003308  3.7453  4.2197  0.1544  6.5125  4.8003  4.2421  4.0951  4.1491
 134  1.004784  3.7454  4.2145  0.1605  6.4956  4.7845  4.2268  4.0799  4.1340
 135  1.006250  3.7455  4.2093  0.1667  6.4791  4.7688  4.2114  4.0646  4.1188
 136  1.007711  3.7455  4.2040  0.1728  6.4628  4.7531  4.1961  4.0493  4.1035
 137  1.009168  3.7456  4.1986  0.1790  6.4466  4.7374  4.1807  4.0340  4.0882
 138  1.010624  3.7456  4.1930  0.1852  6.4309  4.7219  4.1652  4.0185  4.0727
 139  1.012079  3.7455  4.1873  0.1914  6.4154  4.7063  4.1498  4.0030  4.0572
 140  1.013532  3.7455  4.1816  0.1976  6.3999  4.6907  4.1342  3.9874  4.0415
 141  1.014989  3.7455  4.1757  0.2039  6.3849  4.6753  4.1186  3.9717  4.0257
 142  1.016450  3.7454  4.1697  0.2102  6.3704  4.6599  4.1029  3.9559  4.0097
 143  1.017912  3.7453  4.1635  0.2166  6.3560  4.6445  4.0872  3.9399  3.9936
 144  1.019380  3.7451  4.1571  0.2230  6.3424  4.6293  4.0714  3.9238  3.9773
 145  1.020852  3.7449  4.1505  0.2294  6.3291  4.6142  4.0555  3.9076  3.9609
 146  1.022332  3.7447  4.1438  0.2359  6.3164  4.5992  4.0396  3.8913  3.9442
 147  1.023818  3.7444  4.1368  0.2424  6.3041  4.5842  4.0236  3.8749  3.9274
 148  1.025313  3.7441  4.1295  0.2490  6.2932  4.5697  4.0076  3.8583  3.9104
 149  1.026816  3.7437  4.1221  0.2556  6.2825  4.5552  3.9916  3.8415  3.8932
 150  1.028331  3.7432  4.1142  0.2622  6.2733  4.5412  3.9756  3.8247  3.8757
 151  1.029857  3.7427  4.1060  0.2688  6.2656  4.5276  3.9596  3.8077  3.8580
 152  1.031401  3.7420  4.0974  0.2755  6.2591  4.5145  3.9437  3.7906  3.8401
 153  1.032966  3.7413  4.0885  0.2822  6.2544  4.5019  3.9278  3.7734  3.8219
